"qname","qtype","value"
"cdn.0000000035340000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000094370000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000045340000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000077580000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000090200000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000aa350000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000992b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000cc220000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f98b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000092b80000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000028a10000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006d750000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000dd730000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000f4790000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000091f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000cc7d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000561a0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000bf2b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000002d410000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000007e6f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000033b30000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000006a0f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000008940000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000593c0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000100d0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000068120000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000db8b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000098a90000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000cb550000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000558b0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000b00f0000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008a420000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000064800000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000fdb60000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000090990000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.000000008d820000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.0000000062660000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000dd750000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.00000000ecb30000010000000000.ns1.brownswer.com","1","8.8.8.8"
"cdn.cd7b7fff0f0000000700b1030000.ns1.brownswer.com","28","87::"
